camera_sensor_timestamp_ns,elapsed_realtime_ns,wall_time_ms,rotation_degrees,session_elapsed_ns
511446611778412,511446693844318,1773454771012,90,135046354
511446678525027,511446789043224,1773454771108,90,230245260
511446711898308,511446825297703,1773454771144,90,266499739
511446745271641,511446859611870,1773454771178,90,300813906
511446812018204,511446906966557,1773454771226,90,348168593
511446845391537,511446919190776,1773454771238,90,360392812
511446878764818,511446955306766,1773454771274,90,396508802
511446912138152,511446990881609,1773454771310,90,432083645
511446945511433,511447056473068,1773454771375,90,497675104
511446978884766,511447078980412,1773454771398,90,520182448
511447012258048,511447199002339,1773454771518,90,640204375
511447045631329,511447221782234,1773454771540,90,662984270
511447079004662,511447224906974,1773454771544,90,666109010
511447112377943,511447242078380,1773454771561,90,683280416
511447145751277,511447246401609,1773454771565,90,687603645
511447179124558,511447271742807,1773454771590,90,712944843
511447212497891,511447286406141,1773454771605,90,727608177
511447245871173,511447308651297,1773454771627,90,749853333
511447312617787,511447386364318,1773454771705,90,827566354
511447345991068,511447421270516,1773454771740,90,862472552
511447379364402,511447477180151,1773454771796,90,918382187
511447412737683,511447494374526,1773454771813,90,935576562
511447446111016,511447551951974,1773454771871,90,993154010
511447479484298,511447590737703,1773454771909,90,1031939739
511447512857631,511447606182807,1773454771925,90,1047384843
511447546230912,511447632669265,1773454771951,90,1073871301
511447579604193,511447658377651,1773454771977,90,1099579687
511447612977527,511447702665359,1773454772021,90,1143867395
511447646350808,511447750377703,1773454772069,90,1191579739
511447679724141,511447780899786,1773454772100,90,1222101822
511447713097423,511447848555203,1773454772167,90,1289757239
511447746470756,511447884993484,1773454772204,90,1326195520
511447779844037,511448058162599,1773454772377,90,1499364635
511447813217318,511448094762807,1773454772413,90,1535964843
511447846590652,511448124005567,1773454772443,90,1565207603
511447879963933,511448157754942,1773454772476,90,1598956978
511448113577058,511448268970619,1773454772588,90,1710172655
511448146950391,511448300609213,1773454772619,90,1741811249
511448180323673,511448332124421,1773454772651,90,1773326457
511448213697006,511448335618744,1773454772654,90,1776820780
511448247070287,511448343717026,1773454772662,90,1784919062
511450945966691,511451040767181,1773454775359,90,4481969217
511450979339973,511451052575775,1773454775371,90,4493777811
511451012713306,511451076501608,1773454775395,90,4517703644
511451046086587,511451116942910,1773454775436,90,4558144946
511451079459868,511451148540045,1773454775467,90,4589742081
511451112833202,511451174074941,1773454775493,90,4615276977
511451146206483,511451209474472,1773454775528,90,4650676508
511451179579816,511451243005410,1773454775562,90,4684207446
511451212953098,511451273694941,1773454775592,90,4714896977
511451246326431,511451308707545,1773454775627,90,4749909581
511451279699712,511451352164785,1773454775671,90,4793366821
511451313072993,511451374065306,1773454775693,90,4815267342
511451346446327,511451417493847,1773454775736,90,4858695883
511451379819608,511451451465983,1773454775770,90,4892668019
511451413192941,511451483459681,1773454775802,90,4924661717
511451446566223,511451526318743,1773454775845,90,4967520779
511451479939556,511451553759889,1773454775872,90,4994961925
511451513312837,511451595506399,1773454775914,90,5036708435
511451546686170,511451616134733,1773454775935,90,5057336769
511451580059452,511451657882285,1773454775977,90,5099084321
511451613432733,511451688040722,1773454776007,90,5129242758
511451646806066,511451713146764,1773454776032,90,5154348800
511451680179348,511451753535358,1773454776072,90,5194737394
511451713552681,511451776245462,1773454776095,90,5217447498
511451746925962,511451827386712,1773454776146,90,5268588748
511451780299295,511451840914056,1773454776160,90,5282116092
511451813672577,511451891206191,1773454776210,90,5332408227
511451847045858,511451930225514,1773454776249,90,5371427550
511451880419191,511451954220618,1773454776273,90,5395422654
511451913792473,511451983592858,1773454776302,90,5424794894
511451947165806,511452016759680,1773454776335,90,5457961716
511451980539087,511452058312805,1773454776377,90,5499514841
511452013912420,511452083254524,1773454776402,90,5524456560
511452047285702,511452121028222,1773454776440,90,5562230258
511452080659035,511452156769212,1773454776475,90,5597971248
511452114032316,511452178740149,1773454776497,90,5619942185
511452147405598,511452216355722,1773454776535,90,5657557758
511452180778931,511452257413743,1773454776576,90,5698615779
511452214152212,511452276334785,1773454776595,90,5717536821
511452247525545,511452324320826,1773454776643,90,5765522862
511452280898827,511452350898326,1773454776670,90,5792100362
511452314272160,511452377498743,1773454776696,90,5818700779
511452347645441,511452409035253,1773454776728,90,5850237289
511452381018723,511452455084420,1773454776774,90,5896286456
511452414392056,511452475522076,1773454776794,90,5916724112
511452447765337,511452517320149,1773454776836,90,5958522185
511452481138670,511452553778482,1773454776872,90,5994980518
511452514511952,511452582213430,1773454776901,90,6023415466
511452547885285,511452634996607,1773454776954,90,6076198643
511452581258566,511452648375566,1773454776967,90,6089577602
511452614631900,511452692911295,1773454777012,90,6134113331
511452648005181,511452729109680,1773454777048,90,6170311716
511452681378462,511452757522857,1773454777076,90,6198724893
511452714751795,511452792661451,1773454777111,90,6233863487
511452748125077,511452825656086,1773454777144,90,6266858122
511452781498410,511452858375409,1773454777177,90,6299577445
511452814871691,511452876610774,1773454777195,90,6317812810
511452848245025,511452917710045,1773454777236,90,6358912081
511452881618306,511452946367857,1773454777265,90,6387569893
511452914991587,511452979397701,1773454777298,90,6420599737
511452948364920,511453017730565,1773454777336,90,6458932601
511452981738202,511453048202545,1773454777367,90,6489404581
511453015111535,511453079703274,1773454777398,90,6520905310
511453048484816,511453107801555,1773454777426,90,6549003591
511453081858150,511453156498013,1773454777475,90,6597700049
511453115231431,511453184962961,1773454777504,90,6626164997
511453148604764,511453212345253,1773454777531,90,6653547289
511453181978045,511453245423690,1773454777564,90,6686625726
511453215351327,511453283578899,1773454777602,90,6724780935
511453248724660,511453309892336,1773454777629,90,6751094372
511453282097941,511453352753326,1773454777671,90,6793955362
511453315471275,511453376140565,1773454777695,90,6817342601
511453348844556,511453410804680,1773454777729,90,6852006716
511453382217889,511453449714784,1773454777768,90,6890916820
511453415591170,511453488572857,1773454777807,90,6929774893
511453448964504,511453509122909,1773454777828,90,6950324945
511453482337785,511453540552857,1773454777859,90,6981754893
511453515711066,511453583624940,1773454777902,90,7024826976
511453549084400,511453621751294,1773454777940,90,7062953330
511453582457681,511453653595513,1773454777972,90,7094797549
511453615831014,511453685315253,1773454778004,90,7126517289
511453649204295,511453711641659,1773454778030,90,7152843695
511453682577629,511453746947232,1773454778066,90,7188149268
511453715950910,511453774908742,1773454778094,90,7216110778
511453749324191,511453818349107,1773454778137,90,7259551143
511453782697525,511453855903013,1773454778175,90,7297105049
511453816070806,511453881929263,1773454778201,90,7323131299
511453849444139,511453919967492,1773454778239,90,7361169528
511453882817420,511453951007440,1773454778270,90,7392209476
511453916190754,511453978921763,1773454778298,90,7420123799
511453949564035,511454011901867,1773454778331,90,7453103903
511453982937316,511454055022023,1773454778374,90,7496224059
511454016310650,511454084826971,1773454778403,90,7526029007
511454049683931,511454116410096,1773454778435,90,7557612132
511454083057264,511454144723169,1773454778463,90,7585925205
511454116430545,511454187091346,1773454778506,90,7628293382
511454149803879,511454218759003,1773454778537,90,7659961039
511454183177160,511454249342492,1773454778568,90,7690544528
511454216550493,511454288650982,1773454778607,90,7729853018
511454249923775,511454310769784,1773454778629,90,7751971820
511454283297056,511454358669367,1773454778677,90,7799871403
511454316670389,511454377747857,1773454778696,90,7818949893
511454350043670,511454422126242,1773454778741,90,7863328278
511454383417004,511454449389627,1773454778768,90,7890591663
511454416790285,511454485535044,1773454778804,90,7926737080
511454450163618,511454510820409,1773454778829,90,7952022445
511454483536900,511454556975357,1773454778876,90,7998177393
511454516910181,511454579326763,1773454778898,90,8020528799
511454550283514,511454620502023,1773454778939,90,8061704059
511454583656795,511454655754211,1773454778974,90,8096956247
511454617030129,511454688741711,1773454779007,90,8129943747
511454650403410,511454721363742,1773454779040,90,8162565778
511454683776743,511454744167857,1773454779063,90,8185369893
511454717150025,511454791057284,1773454779110,90,8232259320
511454750523358,511454823107127,1773454779142,90,8264309163
511454783896639,511454852887961,1773454779172,90,8294089997
511454817269920,511454887700461,1773454779206,90,8328902497
511454850643254,511454921739992,1773454779240,90,8362942028
511454884016535,511454943309471,1773454779262,90,8384511507
511454917389868,511454978494471,1773454779297,90,8419696507
511454950763150,511455017811086,1773454779336,90,8459013122
511454984136483,511455044042388,1773454779363,90,8485244424
511455017509764,511455081091502,1773454779400,90,8522293538
511455050883045,511455118257023,1773454779437,90,8559459059
511455084256379,511455159822648,1773454779478,90,8601024684
511455117629660,511455194876190,1773454779514,90,8636078226
511455151002993,511455223244158,1773454779542,90,8664446194
